go-loader-github	451
go-cli	447
go-loader-gist	446
hridaya-os	446
rspkify	433
svgfusion-core	432
svgfusion-cmd	428
jankmeter	427
svgfusion	426
create-taproot	419
remotedev-app	412
unplugin-jsx-source	410
create-kuralle-agents	408
create-litsx-app	407
zerostarter	405
ai-sdk-devtools	402
mcpbrowser	396
zustand-devtools	393
another-deep-freeze	390
create-davingm-nuxt	389
create-vuetify	389
create-agentic-dev-env	388
create-kelpie	388
packkit-mcp	384
nitronplus	382
pm-starter	381
apeman-scff	380
mos-init	379
mobile-devtools	375
pejay-ui	375
create-narro	373
create-playcanvas	370
create-nifra	366
swc-plugin-jsx-source-attrs	364
create-brainerce-store	360
nexstruct	360
rozenite-assets-viewer	360
haltija	353
create-daloy	346
create-workframe	344
create-visual-eyes	342
mikser	341
ghosty-cli	337
purrfold	336
create-beignet	335
sparkle-design-cli	334
rozenite-growthbook-plugin	333
create-luckystack-app	332
create-agent-rig	329
vite-plugin-singlefile-compression	328
create-harness-vibe-coding	327
create-better-fullstack	324
gulp-turbo	321
create-next-suite	312
acady	306
create-template-project	306
browser-with-fingerprints	305
termbeam	305
generate-license	300
chrome-extension-cli	298
devmap	295
create-bakery	287
instapack	278
opera-browser-cli	277
iframe-pane	269
icon-audit	268
bore-cli	266
create-nexgen	258
create-ripple	257
generator-ngx-rocket	254
generator-jhipster-nav-element	246
create-assistant-ui	245
cursor-history	243
crescodb	239
generator-nitro	239
create-whiskeyjack	233
multi-agents-cli	233
esw	229
newcandies	227
create-devsmith	222
dphelper	220
create-octane	218
create-bridgething	217
create-terse	207
monolite-cli	206
create-palamedes	205
create-pmos	201
react-rewrite-cli	201
haute-couture	196
runner-run	195
create-kobar	191
create-thexjs-app	188
contextdevkit	187
create-alepha	187
manage-tuurio-id	185
mixone	184
bystro	182
create-agentuity	178
create-astrajs.dev	175
cruxify	174
generator-git	174
thuban	172
create-project-calavera	171
playwright-with-fingerprints	162
flex-dfe	160
mxflow	159
ziku	154
presetter	153
create-dpas-app	150
create-vistaar	146
nakedjsx	145
create-lean-agent-kit	141
create-volt	136
create-mn-app	132
forge-harness	131
gate-evm-hardhat-foundry	128
apeman-scff-web	127
esbuild-raw	119
create-gaon	117
esraw	114
create-theoven	109
tweaks	106
esbuild-raw-loader	105
create-tester	103
create-kide-app	102
react-openai-apps-sdk	100
kschema-fs-api-gen-get-actions	97
create-llm	93
create-pilet	92
kist	92
express-fix-any-js	91
create-impact-nova	83
html-assets-hash	81
create-nola-lang	80
adspecs	79
create-dong	78
create-kast-app	75
create-clivly	74
rearguard	74
create-wordjs	72
create-ramonda	69
create-piral-instance	66
crosspane	66
vite-lzh	66
create-icfalcon	65
browser-pilot-cli	62
nbb-vue3-vite	62
create-hono-forge	61
create-webjs	58
grunt-doctrine	57
create-chatrealty-site	56
claude-launchpad	54
pledgepack	53
shunt	53
wite	53
k-soup	52
coreseed-cli	51
cdp-toolkit	50
maxstack	49
nomoreide	49
react-devcli	49
create-rigel	48
kschema-build-endpoints	48
apeman-scff-asset	47
create-vsreact	47
kschema-fs-api-gen-post-actions	47
bernova	46
isc	46
electron-vite-plus	45
flexisvg	45
gluon-build	45
classpresso	43
abap-kit	42
metalsmith-optimize-html	42
nalth	42
vite-unbundled	42
kubit-forge	41
tkeron	41
vite-asset-manifest	41
cloud-devtools-runner	40
openprototype	40
rag-boilerplate	40
template-provider	39
ejs-serve	37
create-nextly-app	36
rtgl	36
create-mailflat	35
create-nimbus-connector	35
create-subatom	35
create-agentpress	32
create-lexy	32
create-stoneware	32
specrails-core	32
npm-ez	31
smartbi-ext-vue-toolkit	31
watever-js-wrapper	31
emk	30
express-fix-endpoints-get-js	29
create-grist-widget	28
deadpool	28
monox	28
create-webapp-kit	27
task-pipeliner	27
kschema-pull-methods	26
create-react-native-setup	25
create-rk-kit	25
create-vita-admin	25
proj-track	25
transform-to-unocss	25
create-nestforge	23
create-shoplayer	23
graphql-buddy	23
carraway	22
create-ts-api	22
flarex	22
melon-build	22
b_short	21
create-lexmount-app	21
dashforge-cli	21
mkjs-cli	21
create-astroid	20
gpt-code-generator	20
mkapp	20
modderengine	20
next-webdna	20
npmize	20
obi_emails	20
style-dictionary-format-json-schema	20
create-bubblelab-app	19
create-earthsdk	19
create-grainlet	18
krenbatcss	18
shaagent	18
bricolo	17
lurk	17
oreshnik-cli	17
next-repo-init	16
squak	16
moonpack	15
saas-theme-cli	15
spr-ai-native	15
yarn-add-webpack-plugin	15
athena2	14
create-tailvite	14
cxpher	14
discgen-cli	14
jido-kit	14
mini-tsdown	14
resource-uploader	14
synapse-framework-cli	14
create-cheshire	13
docusaurus-doctor	13
gitverdiff	13
ranlexer	13
vite-mix	13
vite-multi-page-html-generator-plugin	13
boltstack	12
create-evolved	12
create-zenness	12
fluksos	12
hammerkit	12
human-touch	12
init-typescript-app	12
ok-runner	12
swiftlet	12
wshy	12
aslemammad-vite	11
bun-svelte-spa	11
create-zn	11
dev-cli-universal	11
extn	11
svgs-to-icons	11
template-provider-with-discovery	11
test-corea	11
watever	11
commander-pkg-meta	10
create-monots	10
create-salty-css	10
create-tsu-stack	10
i18n-xy	10
ignorant	10
lacai-react	10
nativewind-cn	10
smartdocs	10
swig-cli	10
virun	10
wasm-wizard	10
agent-publish-server	9
buchta	9
com.stansassets.marking-menu	9
compile-css	9
content-injector-webpack-plugin	9
create-aifb	9
distpkg	9
mimicss	9
purgo-cli	9
scss-builder	9
uih-cli	9
vite-upload-assets-oss	9
web-crush-cli	9
agpk	8
beeflow	8
bembajs-pisha	8
chainscope	8
chalee-cli	8
create-blog-doc	8
create-clean-frontend	8
goalup-minify	8
html-base	8
lunx-dev	8
pyltra	8
rollup-plugin-ng-i18n	8
rule-process	8
rzpack	8
sptr	8
synthia-cli	8
tyhuynh-laya-cmd	8
vroom-tool	8
apexcss-cli	7
clear-comments	7
com.stansassets.build	7
fliphub	7
hybrid-html	7
invokej	7
libwiz	7
obr	7
pug-tail	7
t2006	7
vite-config-editor	7
vite-plugin-bundle-size-tracker	7
vite-plugin-omni-compress	7
express-scaffold-mvc-generator	6
extforge	6
foxfork	6
jelenjs-ssg	6
kolibry	6
kpack	6
maolike-cli	6
quisido	6
refunjs	6
remove-lovable-tags	6
run-mod-script	6
snapp-kit	6
strata-compile	6
supersetup	6
svgfusion-vscode	6
trimpack	6
typebuild	6
vite-hiseven	6
vite-mode-logging	6
vite-plugin-gas	6
chaitailkit	5
code-engine	5
electron-vite-toolkit	5
jsp-template-compiler	5
nustatic	5
parcel-config-cli	5
romujs	5
run-modified-script	5
skara-dev-server	5
testing_4391245	5
virgil	5
vite-plugin-handlebars-precompile	5
zecron-cli	5
esbuild-pug	4
folder-monkey	4
image-manifest	4
kimu-cli	4
milo-vite	4
npm-run-graph	4
psbuilder	4
radixtool	4
symlink-resolver-fork	4
tsml-cli	4
universal-build-plugin-version-check-test	4
vite-anchel	4
vite-enhance	4
vite-plugin-keep-console	4
vite-plugin-preloader	4
vite-plugin-version-manager	4
vite-plugin-zips	4
vite8-doctor	4
voidjs	4
voidjs-build	4
airdry	3
create-mirogo	3
create-packet-pocket	3
create-rvp	3
electron-app-bundler	3
esbuild-plugin-peggy	3
godot-export-cli	3
jmk	3
jspackr	3
lahm	3
ltnpro-live	3
powpow-cli	3
reactjs-webp-optimizer	3
